id,genre
3305480,Comedy
3305480,Drama
3305494,Drama
3305577,Horror
3305629,Horror
3305692,Adventure
3305692,Drama
3305692,Thriller
3305727,Drama
3305727,News
3305727,War
3305811,Action
3305811,Drama
3305831,Crime
3305848,Drama
3306121,Crime
3306121,Drama
3306185,Action
3306185,Drama
3306185,Romance
3306187,Action
3306233,Drama
3306233,Family
3306264,Comedy
3306264,Crime
3306301,Sci-Fi
3306301,Western
3306310,Comedy
3306310,Romance
3306327,Drama
3306327,Family
3306327,Romance
3306350,Comedy
3306490,Animation
3306741,Crime
3306741,Drama
3306741,Romance
3306744,Drama
3306825,Adventure
3306825,Mystery
3306830,Crime
3306830,Drama
3306830,Horror
3306830,Mystery
3306830,Thriller
3306898,Adventure
3306898,Drama
3306909,Drama
3306909,Fantasy
3306909,Romance
3306911,Comedy
3306911,Horror
3306911,Romance
3306917,Sport
3306958,Family
3307043,Drama
3307045,Drama
3307064,Comedy
3307073,Horror
3307109,Drama
3307109,Horror
3307205,Comedy
3307205,Fantasy
3307205,Romance
3307219,Romance
3307223,Comedy
3307223,Crime
3307243,Comedy
3307302,Crime
3307302,Drama
3307302,Mystery
3307302,Romance
3307326,Action
3307326,Drama
3307342,Crime
3307342,Drama
3307370,Drama
3307383,Drama
3307383,Romance
3307386,Action
3307386,Thriller
3307404,Mystery
3307404,Thriller
3307417,Drama
3307481,Drama
3307481,Thriller
3307500,Comedy
3307500,Romance
3307540,Drama
3307541,Drama
3307587,Drama
3307587,Fantasy
3307587,Horror
3307587,Romance
3307587,Thriller
3307602,Comedy
3307692,Comedy
3307708,Comedy
3307727,Drama
3307736,Biography
3307749,Action
3307749,Comedy
3307749,Horror
3307862,Comedy
3307862,Fantasy
3307998,Sci-Fi
3308001,Comedy
3308008,Drama
3308008,Romance
3308008,Thriller
3308045,Comedy
3308045,Horror
3308045,Musical
3308083,Thriller
3308093,Horror
3308093,Thriller
3308124,Comedy
3308124,Fantasy
3308125,Comedy
3308125,Fantasy
3308129,Horror
3308131,Horror
3308131,Thriller
3308140,Horror
3308140,Thriller
3308193,Drama
3308193,Thriller
3308197,Biography
3308200,Drama
3308222,Comedy
3308222,Drama
3308222,Romance
3308307,Drama
3308492,Comedy
3308492,Family
3308492,Romance
3308528,Comedy
3308528,Music
3308629,Drama
3308629,Horror
3308629,Thriller
3308640,Drama
3308640,Family
3308647,Drama
3308647,Family
3308660,Family
3308660,Fantasy
3308662,Family
3308728,Drama
3308747,Horror
3308747,Thriller
3308796,Drama
3308819,Comedy
3308964,Comedy
3308964,Drama
3308964,Family
3309016,Thriller
3309029,Comedy
3309142,Drama
3309222,Drama
3309365,Crime
3309365,Drama
3309365,Sport
3309365,Thriller
3309370,Crime
3309384,Crime
3309384,Drama
3309384,Thriller
3309389,Crime
3309408,Comedy
3309408,Fantasy
3309408,Romance
3309410,Crime
3309410,Drama
3309410,Thriller
3309497,Crime
3309497,Drama
3309497,Thriller
3309556,Comedy
3309561,Drama
3309593,Comedy
3309773,Romance
3309862,Drama
3309910,Drama
3309910,Music
3309938,Drama
3309960,Drama
3310069,Drama
3310069,Romance
3310077,Action
3310077,Crime
3310077,Mystery
3310084,Family
3310130,Drama
3310130,Family
